site_no,site_name,timestamp_utc,region,flow_cfs,p90_flow_cfs,ratio,high_flow,pct_change_1h,pct_change_3h,pct_change_6h
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 17:00:00+00:00,north,2.56,53.89000000000002,0.04750417517164593,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 17:15:00+00:00,north,2.89,53.89000000000002,0.05362776025236591,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 17:30:00+00:00,north,2.56,53.89000000000002,0.04750417517164593,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 17:45:00+00:00,north,2.89,53.89000000000002,0.05362776025236591,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 18:00:00+00:00,north,2.72,53.89000000000002,0.0504731861198738,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 18:15:00+00:00,north,2.56,53.89000000000002,0.04750417517164593,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 18:30:00+00:00,north,2.72,53.89000000000002,0.0504731861198738,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 18:45:00+00:00,north,2.72,53.89000000000002,0.0504731861198738,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 19:00:00+00:00,north,2.72,53.89000000000002,0.0504731861198738,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 19:15:00+00:00,north,2.72,53.89000000000002,0.0504731861198738,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 19:30:00+00:00,north,2.56,53.89000000000002,0.04750417517164593,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 19:45:00+00:00,north,2.56,53.89000000000002,0.04750417517164593,False,,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 20:00:00+00:00,north,2.56,53.89000000000002,0.04750417517164593,False,0.0,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 20:15:00+00:00,north,2.56,53.89000000000002,0.04750417517164593,False,-11.418685121107268,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 20:30:00+00:00,north,2.56,53.89000000000002,0.04750417517164593,False,0.0,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 20:45:00+00:00,north,2.72,53.89000000000002,0.0504731861198738,False,-5.8823529411764675,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 21:00:00+00:00,north,2.72,53.89000000000002,0.0504731861198738,False,0.0,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 21:15:00+00:00,north,2.72,53.89000000000002,0.0504731861198738,False,6.250000000000005,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 21:30:00+00:00,north,2.89,53.89000000000002,0.05362776025236591,False,6.249999999999997,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 21:45:00+00:00,north,2.89,53.89000000000002,0.05362776025236591,False,6.249999999999997,,
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-16 22:00:00+00:00,north,2.89,53.89000000000002,0.05362776025236591,False,6.249999999999997,,
